ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE78320.1	49258000	46787000	59605000	65713000	0	-1.88	NA
CAE78323.1	330750000	334610000	388860000	406060000	0	-1.95	Cytoplasmic
CAE78327.1	39212000	40564000	43682000	44620000	0	-1.87	Cytoplasmic
CAE78328.1	11886000	12023000	12689000	12199000	0	-2.8	Cytoplasmic
CAE78329.1	8587000	8505900	9488800	9895700	0	-1.21	Cytoplasmic
CAE78333.1	13904000	11388000	16330000	16305000	0	-3.44	Cytoplasmic
CAE78334.1	137900000	205870000	181130000	199140000	0	-1.9	Cytoplasmic
CAE78336.1	496980	497040	833780	583470	0	2.73	Unknown
CAE78337.1	NA	NA	NA	NA	1	1.9	Cytoplasmic
CAE78338.1	17741000	19926000	19225000	21873000	0	1.4	Cytoplasmic
CAE78340.1	23902000	29943000	29532000	28256000	0	-3.19	Unknown
CAE78341.1	125180000	131700000	149600000	157280000	0	-1.08	Cytoplasmic
CAE78343.1	4837600	4879700	3978100	5410900	0	3.76	Unknown
CAE78344.1	878110	1149200	1512400	1179400	0	3.3	Outer Membrane
CAE78346.1	1190300	1524100	1012300	1248700	0	-1.1	Cytoplasmic
CAE78348.1	20052000	23231000	20076000	23509000	0	1.2	Cytoplasmic
CAE78349.1	2701600	3320600	4373800	4339900	0	5.13	Cytoplasmic
CAE78350.1	2561800	2101800	1117400	1453900	0	-2.21	Cytoplasmic
CAE78351.1	6961600	6481800	8905000	8163600	0	-0.905	Cytoplasmic
CAE78352.1	5718500	5840000	7300600	6528600	0	-1.65	Cytoplasmic
CAE78353.1	394350	484140	667130	503610	0	2.19	Unknown
CAE78354.1	7770300	7479700	9518000	9943000	1	-1.63	Cytoplasmic
CAE78355.1	3490000	2629900	2407600	2966200	0	1.42	NA
CAE78357.1	3758300	5091300	4645100	4549300	1	-0.408	Cytoplasmic
CAE78359.1	7448300	7291500	11866000	12025000	0	8.97	Outer Membrane
CAE78360.1	17852000	14668000	14100000	20914000	0	-1.96	NA
CAE78361.1	1615500	1378400	1506200	1733100	NA	NA	Unknown
CAE78362.1	37221000	33292000	39412000	31780000	0	1.96	Unknown
