ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE79212.1	11416000	12150000	11527000	11070000	0	-1.12	Cytoplasmic
CAE79213.1	20021000	18327000	21668000	22271000	0	-2.75	Unknown
CAE79214.1	64501000	61031000	58261000	62897000	0	1.9	Unknown
CAE79215.1	598470	774470	1011000	952850	NA	NA	Cytoplasmic
CAE79217.1	706120	393370	822300	534100	NA	NA	Cytoplasmic
CAE79221.1	6994200	13276000	10765000	10527000	0	-2.07	Cytoplasmic
CAE79222.1	NA	NA	NA	NA	0	-3.3	Unknown
CAE79225.1	1.59E+08	176430000	184950000	173430000	0	-1.15	Cytoplasmic
CAE79227.1	2894800	2153600	2297900	3569300	0	1.01	Extracellular
CAE79228.1	8395700	8770900	11646000	9331500	0	6.31	NA
CAE79230.1	2241500000	2152600000	2405100000	2690600000	0	3.64	Unknown
CAE79231.1	20906000	22214000	19793000	21915000	0	-2.32	Cytoplasmic
CAE79232.1	198190000	243570000	249010000	260980000	0	2.32	NA
CAE79233.1	340790000	403900000	391960000	386030000	0	2.99	Cytoplasmic Membrane
CAE79234.1	5262600	6618100	6241800	5055800	0	-0.491	Unknown
CAE79235.1	1869500	1884700	1885200	2321300	1	0.769	Cytoplasmic
CAE79236.1	4706000	3845800	5452200	6681900	0	-1.83	Cytoplasmic
CAE79238.1	41316000	48633000	56582000	52994000	0	-2.01	Cytoplasmic
CAE79239.1	72276000	74779000	71710000	74055000	1	-2.37	Cytoplasmic
CAE79240.1	NA	NA	NA	NA	0	-0.321	Unknown
CAE79241.1	NA	NA	NA	NA	0	-0.794	Unknown
CAE79242.1	36884000	38375000	42176000	43069000	0	-1.97	Unknown
CAE79247.1	9249600	9629000	10892000	10677000	0	0.695	Outer Membrane
CAE79248.1	1179800	1339700	1734000	1940600	0	-1.42	NA
CAE79255.1	95074000	92170000	114630000	104640000	0	5.74	Unknown
CAE79257.1	160740000	159830000	195280000	213250000	0	-1.89	Cytoplasmic
CAE79262.1	2074100	1982800	2621600	2133000	1	1.04	Cytoplasmic
CAE79263.1	64978000	67094000	70304000	67315000	0	-1.43	Cytoplasmic
CAE79264.1	15103000	10582000	10955000	16888000	0	-2.89	Cytoplasmic
CAE79276.1	2688200	2274900	3580400	3282200	0	-0.432	NA
CAE79277.1	4660100	4993100	5475900	3659700	0	-2.06	NA
CAE79278.1	38647000	36620000	45398000	39918000	0	12	Cytoplasmic
CAE79281.1	8444500	10323000	11929000	8958100	0	-1.31	Unknown
CAE79283.1	NA	NA	NA	NA	0	4	NA
CAE79285.1	764390	1061200	736610	14121000	NA	NA	NA
CAE79286.1	5542700	4845300	5174400	3812000	0	-0.0321	Cytoplasmic
CAE79288.1	2352100000	2457700000	2509100000	2558700000	0	-0.886	Unknown
CAE79291.1	3473600	2383900	3700400	2457200	0	4.05	Unknown
CAE79292.1	NA	NA	NA	NA	0	0.582	Periplasmic
CAE79294.1	3846000	3913100	3733000	3593600	0	-3.16	Unknown
CAE79298.1	3188100	3696400	6415200	5199500	0	4.1	Unknown
CAE79299.1	5262300	5786800	5381800	7507100	0	-1.52	NA
CAE79300.1	44847000	47330000	46426000	46750000	0	3.73	Cytoplasmic Membrane
CAE79302.1	878700	871570	885760	980490	1	0.0258	NA
CAE79304.1	9707200	10633000	9805100	11916000	1	-0.448	Cytoplasmic
CAE79305.1	NA	NA	NA	NA	0	-1.11	Unknown
CAE79307.1	61559000	60708000	72374000	69196000	0	0.76	Unknown
CAE79308.1	6576800	9196300	8431200	9715200	0	-1.26	Cytoplasmic Membrane
CAE79309.1	1179600	1404900	1016700	1715900	NA	NA	Cytoplasmic Membrane
CAE79310.1	NA	NA	NA	NA	0	NA	Cytoplasmic Membrane
CAE79312.1	913620	793860	749570	938700	NA	NA	Cytoplasmic
CAE79313.1	293960	358960	399230	400630	NA	NA	Cytoplasmic
CAE79314.1	37830000	26014000	40748000	34225000	1	-4.01	NA
CAE79323.1	307060000	335160000	363270000	384010000	0	-1.2	Cytoplasmic
CAE79332.1	109380000	111950000	117850000	119550000	0	1.26	Unknown
CAE79333.1	NA	NA	NA	NA	0	NA	Unknown
CAE79334.1	NA	NA	NA	NA	0	0.632	Unknown
CAE79335.1	13206000	13663000	18407000	17057000	0	8.22	Outer Membrane
CAE79336.1	1208200	887200	1198300	1349200	0	-2.12	NA
CAE79337.1	4783400	3822500	4904200	5165000	1	-1.88	NA
CAE79339.1	111910	172360	162510	257770	NA	NA	Cytoplasmic
CAE79346.1	93946000	92444000	100820000	114310000	0	-1.51	Cytoplasmic
CAE79347.1	21340000	20681000	18318000	24744000	0	-1.83	Cytoplasmic
CAE79348.1	7385800	8262000	9745500	9415100	0	-2.43	Cytoplasmic
CAE79349.1	5634800	5112500	11289000	4893000	0	7.13	NA
CAE79353.1	112850000	121510000	149350000	145720000	0	0.816	Unknown
CAE79354.1	440670	497460	567330	593510	NA	NA	Cytoplasmic Membrane
CAE79355.1	1255200	1407600	1292600	1562300	0	2.98	NA
CAE79356.1	15063000	14677000	13735000	14511000	0	2.49	Cytoplasmic Membrane
CAE79357.1	17419000	16300000	15693000	17516000	0	-0.271	NA
CAE79358.1	1358100	1267900	1226900	1193000	0	1.07	Unknown
CAE79359.1	188050000	192790000	290490000	268900000	0	5.34	NA
CAE79360.1	12682000	13419000	14420000	14667000	0	1.06	Unknown
CAE79361.1	NA	NA	NA	NA	0	-1.09	Unknown
CAE79362.1	27107000	26509000	30178000	30794000	0	0.106	Unknown
CAE79363.1	2071900	2377100	968150	2352900	0	1.29	Unknown
CAE79364.1	NA	NA	NA	NA	0	0.917	NA
CAE79365.1	63796000	66634000	70840000	68532000	0	2.04	NA
CAE79366.1	3521300	4317000	6992200	5136000	0	0.254	NA
CAE79367.1	6459100	7965800	7600700	7859900	0	0.526	NA
CAE79368.1	19635000	18640000	19138000	16283000	0	-2.21	NA
CAE79369.1	11123000	10854000	12272000	12159000	0	2.35	Cytoplasmic Membrane
CAE79370.1	10213000	11714000	11073000	10830000	0	-0.674	Cytoplasmic
CAE79371.1	11484000	10806000	10070000	12403000	0	-1.5	Cytoplasmic
CAE79372.1	6138600	6730700	6964200	8135900	0	-0.622	Cytoplasmic Membrane
CAE79373.1	12096000	8186700	13139000	13902000	0	0.355	Cytoplasmic Membrane
CAE79374.1	39851000	40430000	46093000	47544000	0	5.11	Outer Membrane
CAE79375.1	319850000	405420000	407600000	421780000	0	0.53	Unknown
CAE79376.1	81864000	83815000	69368000	102460000	0	-0.943	Cytoplasmic
CAE79377.1	59311000	62278000	65185000	59084000	0	-1.9	Cytoplasmic
CAE79378.1	44328000	34037000	46340000	47547000	0	-0.824	Cytoplasmic
CAE79379.1	6334900	8037600	5432000	5833200	0	-1.1	Cytoplasmic
CAE79380.1	1030400	1991500	1914900	1613400	0	-4.88	Cytoplasmic Membrane
CAE79381.1	9821400	10126000	12858000	12049000	0	-1.14	NA
CAE79383.1	6705700	7318000	9406400	8001200	1	-2.29	NA
CAE79384.1	9433700	10022000	10842000	10317000	0	-1.46	NA
CAE79385.1	27021000	24929000	21515000	21764000	1	-2.03	Cytoplasmic
CAE79386.1	1039100	907190	1224500	1374700	0	3.12	NA
CAE79387.1	19485000	19271000	19222000	22249000	0	-2.69	NA
CAE79388.1	8018700	8532400	6739900	8031800	0	-2.9	Cytoplasmic
CAE79389.1	52176000	53446000	56269000	64992000	0	-0.766	Cytoplasmic
CAE79390.1	23875000	27842000	24488000	30229000	0	-1.12	Unknown
CAE79391.1	35258000	42600000	46906000	47262000	0	-0.334	Cytoplasmic Membrane
CAE79392.1	7683500	8209300	8134000	8988100	0	2.45	Cytoplasmic Membrane
CAE79393.1	178680000	166710000	183110000	192310000	1	-1.22	Cytoplasmic
CAE79394.1	300490000	275560000	315160000	345560000	0	-1.49	Cytoplasmic
CAE79396.1	32689000	32527000	36837000	37490000	0	1.59	Cytoplasmic Membrane
CAE79399.1	859810	992000	1144200	1488300	0	-0.641	Cytoplasmic
CAE79405.1	10501000	11336000	10981000	15092000	0	-2.2	Unknown
CAE79414.1	3466500	4934100	4309200	3133000	0	-2.17	Cytoplasmic
CAE79417.1	362460	421390	502490	457830	0	4.43	Cytoplasmic
CAE79422.1	57957000	78523000	84964000	91241000	0	4.39	Outer Membrane
CAE79423.1	1562200	1722200	2331400	534710	0	6.29	NA
CAE79424.1	6721900	4926000	6831800	6195800	NA	NA	NA
CAE79425.1	88772000	96148000	99651000	93978000	0	-0.0833	Cytoplasmic
CAE79426.1	329610000	348160000	347750000	366270000	0	-0.318	Cytoplasmic
CAE79427.1	180210000	188260000	203850000	189770000	0	-0.135	Cytoplasmic
CAE79428.1	74450000	61816000	79682000	64707000	0	-1.58	Cytoplasmic
CAE79429.1	8929600	11030000	7839600	5379600	0	-2.12	Cytoplasmic
CAE79430.1	1.05E+09	1014100000	1104600000	1282700000	0	-0.0735	Cytoplasmic
CAE79431.1	522480000	536780000	575230000	553060000	0	0.122	Cytoplasmic
CAE79432.1	2453200	3013500	2778300	3268600	0	1.3	Cytoplasmic
CAE79433.1	101490000	99170000	110440000	95882000	0	-2	Unknown
CAE79434.1	NA	NA	NA	NA	0	1.5	Cytoplasmic Membrane
CAE79435.1	1447600	2623400	1853500	1697900	0	-0.771	NA
CAE79439.1	4917000	5653500	5202700	5713500	0	5.99	NA
CAE79440.1	17808000	17917000	22813000	21813000	0	-0.876	Cytoplasmic
CAE79441.1	NA	NA	NA	NA	0	3.65	Unknown
CAE79445.1	30146000	34318000	37121000	37799000	0	2.65	Cytoplasmic
CAE79446.1	52549000	56024000	60597000	52817000	0	-2.69	Cytoplasmic
CAE79447.1	121920000	139060000	159610000	178560000	0	3.51	Unknown
CAE79448.1	13259000	15591000	11403000	16091000	0	-0.0133	Cytoplasmic
CAE79449.1	488100	370910	400050	0	NA	NA	Cytoplasmic Membrane
CAE79450.1	9406000	9616900	11518000	13414000	0	7.68	Outer Membrane
CAE79451.1	1354800	2478300	2459400	1866300	NA	NA	Cytoplasmic
CAE79452.1	2438100	2764800	2397800	2637900	0	-2.36	Unknown
CAE79453.1	7132700	8398300	11213000	10716000	0	-2.12	Cytoplasmic
CAE79454.1	1655200	1114300	1756900	1391400	0	-0.451	Unknown
CAE79456.1	1860400	1509100	1875000	1395400	0	3.89	NA
CAE79458.1	12916000	13540000	14742000	14711000	0	8.2	Unknown
CAE79459.1	967750	1113600	1221900	1319400	NA	NA	Unknown
CAE79461.1	17900000	18142000	18057000	19835000	0	2.08	Cytoplasmic
CAE79462.1	20492000	21444000	23738000	20817000	0	2.74	Unknown
CAE79463.1	16659000	17190000	19544000	19419000	0	2.81	NA
CAE79465.1	21420000	24905000	28168000	22795000	0	2.08	Unknown
CAE79466.1	37796000	36406000	39274000	40136000	0	1.94	Unknown
CAE79467.1	13545000	13418000	13215000	15724000	0	1.66	Unknown
CAE79468.1	38568000	37851000	41431000	41999000	0	1.84	Unknown
CAE79469.1	1372100000	1494400000	1643200000	1461500000	0	1.03	Cytoplasmic Membrane
CAE79471.1	2446400	2870800	2398800	2510300	NA	NA	NA
CAE79472.1	25380000	24579000	28180000	26997000	0	1.82	Unknown
CAE79473.1	23361000	21916000	24880000	25757000	0	-0.155	Cytoplasmic Membrane
CAE79474.1	28659000	29912000	34083000	35464000	0	-0.528	Cytoplasmic
CAE79475.1	44476000	51980000	52989000	55651000	0	5.5	Outer Membrane
CAE79477.1	13327000	13437000	13477000	12480000	0	3.68	Unknown
CAE79479.1	9090400	11048000	12353000	13629000	0	-1.07	Unknown
CAE79480.1	16563000	16708000	17018000	18574000	0	-3.8	NA
CAE79481.1	44778000	46278000	49223000	52628000	0	-1.89	Cytoplasmic
CAE79482.1	32757000	31912000	37569000	25509000	0	4.39	Cytoplasmic Membrane
CAE79483.1	85746000	81601000	105400000	81813000	0	3.83	Cytoplasmic Membrane
CAE79484.1	17477000	17786000	4983600	5764300	0	3.57	Periplasmic
CAE79485.1	411650000	425500000	493170000	510380000	0	4.67	Cytoplasmic Membrane
CAE79486.1	28848000	30023000	36878000	35819000	0	5.32	Cytoplasmic Membrane
CAE79487.1	421140000	504140000	535340000	522400000	0	5.1	Cytoplasmic Membrane
CAE79488.1	99052000	107970000	75099000	72172000	0	4.62	Periplasmic
CAE79489.1	34837000	39659000	42671000	45437000	0	4.82	Cytoplasmic Membrane
CAE79494.1	79267000	77867000	88481000	82522000	0	-1.15	Cytoplasmic
CAE79495.1	222510000	212890000	195160000	202870000	0	-1.5	Cytoplasmic
CAE79496.1	416820	434500	379210	371780	0	1.09	Unknown
CAE79497.1	3637800	4874600	5293800	5106900	0	-1.87	NA
CAE79498.1	5153300	5454700	5833600	5741600	0	-2.79	Unknown
CAE79499.1	2323700	2706200	1765400	1731000	0	NA	NA
CAE79500.1	628140000	603130000	721370000	708150000	0	2.18	Unknown
CAE79501.1	180040000	177380000	208760000	201390000	0	1.24	Cytoplasmic
CAE79502.1	9761700	11636000	9788500	12851000	0	-2.65	Cytoplasmic
CAE79504.1	2348800	2630100	3208800	3262000	0	-0.423	Cytoplasmic
CAE79505.1	16102000	14987000	16934000	17498000	0	-2.7	Unknown
CAE79506.1	1156000	466200	1972300	2538600	0	-1.86	Cytoplasmic
CAE79507.1	NA	NA	NA	NA	1	1.63	Unknown
CAE79508.1	9132800	8586100	9266400	8228900	0	-0.828	Unknown
CAE79511.1	351750	261290	361150	468230	0	-1.46	Cytoplasmic
CAE79512.1	72759000	62586000	68893000	70396000	0	-1.06	Cytoplasmic
CAE79513.1	102470000	111550000	113680000	119180000	0	-0.893	Cytoplasmic
CAE79514.1	180820000	181220000	205490000	220350000	1	-1.44	Cytoplasmic
CAE79525.1	212360000	197210000	205670000	213800000	0	-1.83	Cytoplasmic
CAE79526.1	8984000	9087600	9966200	9510700	0	-3.1	NA
CAE79528.1	4226000	4476000	5577700	6199400	NA	NA	NA
CAE79529.1	537670	524160	543540	436250	1	0.577	NA
CAE79530.1	19435000	18568000	19725000	20194000	0	-1.41	Cytoplasmic Membrane
CAE79531.1	245410000	255860000	273770000	265070000	0	-1.8	Cytoplasmic Membrane
CAE79532.1	7053600	7014900	8172600	8180200	NA	NA	NA
CAE79533.1	4607100	4713400	5414400	6076300	NA	NA	Cytoplasmic Membrane
CAE79534.1	38510000	34919000	40321000	46210000	0	-0.286	Cytoplasmic Membrane
CAE79535.1	4394200	1288300	5861600	4525600	0	7.11	NA
CAE79538.1	4581500	4726500	5367700	4761100	0	-0.66	Unknown
CAE79539.1	4665800	5233100	5297900	5252600	1	1.55	Unknown
CAE79540.1	319330	270800	360400	349000	0	4.56	Cytoplasmic Membrane
CAE79541.1	7690000	4289300	5599000	5815700	0	5.98	Unknown
CAE79542.1	429940	0	431690	530050	0	3.05	Cytoplasmic Membrane
CAE79543.1	2588400	1931400	2150700	3355400	0	5.53	Cytoplasmic Membrane
CAE79544.1	2683200	2765900	3563100	3190300	0	-0.974	Cytoplasmic
CAE79545.1	1294200	1338300	1915100	1637600	0	3.75	Cytoplasmic Membrane
CAE79546.1	NA	NA	NA	NA	0	-3.09	Cytoplasmic Membrane
CAE79547.1	3875900	3806800	4355200	4502900	0	5.03	Cytoplasmic Membrane
CAE79548.1	17384000	19061000	19076000	20278000	0	0.235	NA
CAE79549.1	81077000	81800000	92822000	90477000	0	-1.26	Cytoplasmic
CAE79550.1	12584000	14051000	11226000	14053000	0	-2.71	Cytoplasmic
CAE79551.1	24468000	25668000	31958000	24223000	0	-1.67	Cytoplasmic
CAE79552.1	20636000	18721000	22022000	21423000	0	-1.65	Cytoplasmic
CAE79553.1	68649000	65967000	74763000	78906000	0	-1.21	Cytoplasmic
CAE79554.1	22652000	23231000	23397000	22087000	0	-1.44	Unknown
CAE79555.1	18141000	17668000	24571000	25642000	0	-1.26	Cytoplasmic
CAE79556.1	15133000	17415000	15304000	16661000	0	-2.17	NA
CAE79557.1	20504000	19617000	21715000	21903000	0	4.02	Cytoplasmic
CAE79559.1	539740	623090	0	584740	NA	NA	Cytoplasmic Membrane
CAE79560.1	29422000	36248000	41480000	35257000	0	-0.692	Cytoplasmic
CAE79561.1	36992000	36712000	41294000	44728000	0	-2.87	Cytoplasmic
CAE79562.1	23624000	29049000	29447000	30797000	0	-1.72	Cytoplasmic
CAE79563.1	31116000	35592000	39482000	42292000	0	-0.98	Cytoplasmic
CAE79564.1	27740000	27525000	28944000	33394000	0	-1.22	Cytoplasmic
CAE79565.1	49790000	56362000	59567000	54400000	0	-1.01	Cytoplasmic
CAE79566.1	4168400	2896600	4578200	2523300	0	-0.829	Cytoplasmic Membrane
CAE79567.1	3092700	4245700	4074700	4542900	0	-0.585	Cytoplasmic Membrane
CAE79568.1	15878000	16432000	18376000	20071000	0	0.641	Cytoplasmic Membrane
CAE79569.1	4417600	4478000	4973600	4513300	0	-0.392	Unknown
CAE79570.1	12127000	13494000	14122000	14680000	0	2.65	NA
CAE79571.1	4179400	4489500	4618500	6072500	NA	NA	Cytoplasmic
CAE79573.1	368840000	460360000	472150000	478310000	0	4.72	Unknown
CAE79575.1	1636300	1889900	1778100	1762700	NA	NA	Cytoplasmic
CAE79577.1	14354000	14252000	18549000	17086000	0	-0.878	Unknown
CAE79578.1	3183000	2597200	4447900	3985800	0	-1.76	NA
CAE79579.1	227030000	228630000	280170000	319510000	0	-1.65	Cytoplasmic
CAE79580.1	191800	206900	221020	271770	NA	NA	Cytoplasmic
CAE79581.1	17825000	9118700	10753000	10174000	0	0.948	NA
CAE79583.1	418810	692070	582940	626530	NA	NA	NA
CAE79584.1	120130000	134470000	130180000	141730000	0	4.94	Cytoplasmic Membrane
CAE79588.1	3821700	5225400	3588000	1697100	NA	NA	Unknown
CAE79591.1	1188800	3500600	962690	3713700	0	5.38	Unknown
CAE79593.1	4769500	4649400	2939100	6293000	0	-1.15	Cytoplasmic
CAE79600.1	1795100	1716800	1562200	1854900	NA	NA	Cytoplasmic
CAE79601.1	10069000	9524400	10237000	10295000	0	-2.92	Cytoplasmic
CAE79602.1	47616000	49135000	51690000	52070000	0	-0.868	Cytoplasmic
CAE79603.1	23892000	17964000	23638000	27743000	0	-1.91	Cytoplasmic
CAE79604.1	71694000	63170000	73520000	80378000	0	3.06	NA
CAE79605.1	67709000	78086000	80796000	78516000	0	-0.847	Cytoplasmic
CAE79606.1	7900800	7841900	7980600	9417800	0	-1.03	Cytoplasmic
CAE79607.1	201380000	206450000	217720000	241140000	0	5.25	Unknown
CAE79608.1	7112700	8030900	8123900	8471700	0	-1.44	NA
CAE79610.1	1498400	679800	722700	2044900	0	2.13	Outer Membrane
CAE79611.1	10586000	10142000	9378700	8785100	0	-1.09	Cytoplasmic
CAE79615.1	9664200	10477000	11465000	11402000	1	-0.887	Cytoplasmic
CAE79619.1	13535000	8453200	14151000	16316000	0	2.3	Cytoplasmic Membrane
CAE79625.1	127630000	159750000	170820000	176540000	0	-1.77	Unknown
CAE79626.1	24824000	25308000	33011000	35896000	0	0.542	Cytoplasmic
CAE79628.1	3832400	3437400	7994800	5735000	0	5.79	Unknown
CAE79629.1	272460000	274980000	273790000	2.33E+08	0	-1.58	Cytoplasmic
CAE79630.1	0	234210	266920	334160	NA	NA	Cytoplasmic
CAE79631.1	0	418960	162920	0	NA	NA	NA
CAE79632.1	7524700	9454900	6241700	11537000	0	-1.33	Cytoplasmic Membrane
CAE79633.1	17851000	20765000	14432000	29906000	0	0.546	NA
CAE79635.1	237640	230730	261850	191740	NA	NA	Unknown
CAE79636.1	11771000	13902000	16706000	15106000	0	-0.376	NA
CAE79637.1	118750000	121060000	130990000	137180000	0	-1.41	Cytoplasmic
CAE79638.1	51258000	44774000	49275000	50295000	0	-1.74	Cytoplasmic
CAE79639.1	12876000	13475000	18006000	13921000	0	-2.1	Cytoplasmic
CAE79640.1	7051900	6537300	6194000	6822700	0	-2.82	Cytoplasmic
CAE79641.1	66671000	69630000	73146000	79241000	0	-1.19	Cytoplasmic
CAE79642.1	249900	294510	280380	340610	NA	NA	Cytoplasmic Membrane
CAE79645.1	9054900	9037600	9152900	10719000	0	-1.18	Cytoplasmic
CAE79654.1	0	0	307260	400760	NA	NA	Cytoplasmic
CAE79657.1	NA	NA	NA	NA	0	2.59	Unknown
CAE79658.1	35063000	37095000	40825000	43225000	0	5.56	Outer Membrane
CAE79659.1	24496000	27706000	22681000	28049000	0	3.46	Cytoplasmic Membrane
CAE79660.1	1051300	1066000	1100300	1220400	0	1.8	NA
CAE79662.1	209570000	227870000	232110000	220880000	0	-1.72	Periplasmic
CAE79663.1	262710000	255200000	302010000	2.56E+08	0	-1.18	Cytoplasmic Membrane
CAE79664.1	19684000	20129000	14920000	15898000	0	0.831	Cytoplasmic
CAE79665.1	89040000	84090000	91117000	101220000	0	-1.75	Cytoplasmic
CAE79666.1	38757000	40395000	40750000	40231000	0	-1.01	Cytoplasmic
CAE79668.1	NA	NA	NA	NA	0	-2.13	Outer Membrane
CAE79669.1	22197000	22588000	25840000	23403000	0	-1.83	Cytoplasmic
CAE79670.1	5782000	3655800	23867000	48315000	0	-0.168	Cytoplasmic
CAE79671.1	10328000	11228000	11392000	9339900	0	-2.36	Cytoplasmic
CAE79673.1	4087800	3577600	4449900	3706000	0	-2.37	NA
CAE79674.1	18103000	17363000	42277000	39334000	0	3.33	Unknown
CAE79675.1	NA	NA	NA	NA	0	3.95	Cytoplasmic Membrane
CAE79676.1	8147500	8416700	9029300	11454000	0	-2.31	Cytoplasmic
CAE79677.1	39281000	30885000	43086000	41191000	0	-2.32	Cytoplasmic
CAE79679.1	3586600	4505100	5959800	5872400	0	-2.09	NA
CAE79680.1	0	0	0	1476200	0	3.68	Cytoplasmic Membrane
CAE79681.1	32968000	33865000	34111000	34975000	0	-1.57	Cytoplasmic
CAE79682.1	769050000	802630000	764060000	742330000	0	-1.72	Unknown
CAE79683.1	943550000	876870000	925500000	993490000	1	-2.04	Cytoplasmic
CAE79684.1	4710900	5776000	5785000	5944300	1	3.2	Cytoplasmic
CAE79685.1	27160000	29087000	28493000	28824000	0	-2.89	NA
CAE79686.1	1093000	1171000	1449000	1192300	1	-1.38	NA
CAE79687.1	17339000	19849000	22322000	20619000	0	-1.46	Unknown
CAE79688.1	4286400	5057400	5220600	4361400	0	-1.51	NA
CAE79689.1	3725000	3709100	3921400	4388000	0	-0.796	Cytoplasmic
CAE79690.1	506980	362330	849660	738290	0	1.3	NA
CAE79691.1	104330000	110680000	121540000	129490000	0	-0.378	NA
CAE79692.1	70242000	62694000	68422000	76643000	0	-0.45	NA
CAE79693.1	190450000	204590000	217520000	210830000	0	-0.56	Cytoplasmic
CAE79694.1	185220000	189940000	196100000	179230000	0	-0.458	Cytoplasmic
CAE79695.1	1138100	1299800	1270900	1461400	NA	NA	Cytoplasmic
CAE79698.1	NA	NA	NA	NA	0	2.09	Cytoplasmic Membrane
CAE79700.1	1657400	3562200	2303500	1833500	NA	NA	Extracellular
CAE79701.1	13083000	16247000	12461000	20843000	0	-1.08	Cytoplasmic
CAE79702.1	27608000	25716000	25661000	24672000	0	0.408	Cytoplasmic Membrane
CAE79706.1	135250000	176750000	186890000	228090000	0	-1.29	Cytoplasmic
CAE79707.1	114630000	114820000	146740000	138470000	0	-1.59	Cytoplasmic
CAE79708.1	69791000	68694000	75311000	74703000	0	-0.852	Cytoplasmic Membrane
CAE79709.1	3995000	4018800	5757800	5598600	0	-0.466	NA
CAE79713.1	6112800	6710500	6941200	7107000	0	0.359	Cytoplasmic
CAE79714.1	13992000	15748000	14670000	15751000	0	-0.529	NA
CAE79716.1	23197000	22884000	32530000	34715000	0	0.938	Unknown
CAE79717.1	23305000	28362000	38895000	38317000	0	-2.12	Cytoplasmic
CAE79719.1	3128800	2944600	2938600	2890600	0	-2.31	NA
CAE79720.1	4452500	4784600	5434400	5954800	0	2.5	NA
CAE79721.1	10172000	9524800	12524000	12885000	0	-0.945	Cytoplasmic
CAE79722.1	103930000	107820000	112720000	108220000	0	-1.67	Cytoplasmic
CAE79723.1	124550000	124070000	146250000	152900000	0	-1.43	Cytoplasmic
CAE79724.1	55958000	58787000	67328000	65216000	0	-1.68	Cytoplasmic
CAE79725.1	247460000	240900000	253870000	274250000	0	2.21	NA
CAE79726.1	130110000	153160000	148330000	161650000	0	2.16	NA
CAE79736.1	1687400	1875600	2136700	2241300	0	4.91	Cytoplasmic Membrane
CAE79737.1	14395000	15800000	13932000	14287000	0	-1.89	Unknown
CAE79738.1	14782000	11748000	13796000	14091000	0	1	Cytoplasmic
CAE79740.1	1592000	1672300	1659600	1728500	0	6.07	NA
CAE79741.1	1375900	1672900	1209800	1109400	0	-0.341	Unknown
CAE79744.1	5888200	3138800	2931800	3793800	1	-1.17	Cytoplasmic
CAE79745.1	358480	249550	0	268440	NA	NA	Unknown
CAE79746.1	5244200	4720300	5829500	4760800	0	1.32	NA
CAE79754.1	NA	NA	NA	NA	0	NA	NA
CAE79755.1	4832800	4398700	4779400	5195100	0	-3.14	Periplasmic
CAE79756.1	14093000	17073000	24909000	24661000	0	3.87	Unknown
CAE79758.1	NA	NA	NA	NA	0	3.18	NA
CAE79761.1	1551100	1520700	1695700	1679500	NA	NA	NA
CAE79764.1	43815000	46133000	43157000	46304000	0	2.29	Unknown
CAE79768.1	4577400	4569800	4017400	5087600	0	4.75	NA
CAE79769.1	5229600	5874000	6822300	5759600	0	-1.31	Cytoplasmic
CAE79770.1	38996000	44566000	50071000	48980000	0	-1.46	Cytoplasmic
CAE79771.1	0	1437300	0	1496000	NA	NA	Unknown
CAE79772.1	245540	233910	345010	442180	0	0.683	NA
CAE79774.1	89836000	101460000	121280000	110890000	0	-0.985	Unknown
CAE79775.1	21711000	22078000	25790000	26378000	0	-0.45	Unknown
CAE79777.1	12572000	12258000	13666000	13447000	0	-1.46	Cytoplasmic
CAE79778.1	3776700	4592500	3062500	4030000	0	4.17	Cytoplasmic
CAE79779.1	71321000	72474000	75233000	77667000	1	3.29	Cytoplasmic Membrane
CAE79780.1	12808000	12838000	13443000	13855000	1	3.55	Cytoplasmic Membrane
CAE79781.1	32230000	15887000	18246000	34212000	0	3.01	Unknown
CAE79782.1	53144000	50686000	55503000	57680000	0	-0.805	Cytoplasmic
CAE79783.1	32969000	40213000	32123000	38248000	0	9.28	Cytoplasmic
CAE79784.1	5084800	4529100	3244400	4371300	0	-3.6	Cytoplasmic
CAE79786.1	2291700	6238000	2572800	7135300	0	-2.35	Unknown
CAE79787.1	11966000	13694000	18407000	15600000	0	-1.33	Cytoplasmic
CAE79788.1	49733000	50830000	54944000	54586000	0	-0.395	NA
CAE79792.1	1417000	951160	1383400	1818600	0	1.23	Cytoplasmic
CAE79793.1	9815800	10018000	10211000	8952900	0	-2.86	Cytoplasmic Membrane
CAE79794.1	23303000	27428000	22587000	24273000	0	-1.25	Cytoplasmic
CAE79796.1	93944000	113730000	189040000	190320000	0	5.82	Outer Membrane
CAE79797.1	41755000	41592000	46692000	44263000	0	-1.31	NA
CAE79798.1	8762200	9184700	9881100	10999000	0	-0.0068	Unknown
CAE79799.1	24340000	23926000	25152000	24833000	0	13.5	Cytoplasmic
CAE79800.1	23842000	23982000	24874000	25731000	0	9.1	Cytoplasmic
CAE79801.1	44631000	47134000	47211000	48410000	0	-1.53	Cytoplasmic
CAE79802.1	97672000	104540000	79358000	88492000	0	-1.64	Cytoplasmic
CAE79805.1	3831800	4077000	4951400	4836700	0	0.0217	Cytoplasmic
CAE79806.1	87674000	38006000	43271000	4.40E+07	0	2.51	Unknown
CAE79810.1	1322500	1441500	4149200	1571500	0	-2.43	Unknown
